date,type,tweet_count
2010-06-05,original,32
2010-06-06,original,20
2010-06-07,original,18
2010-06-08,original,40
2010-06-09,original,80
2010-06-10,original,40
2010-06-11,original,25
2010-06-12,original,14
2010-06-13,original,19
2010-06-14,original,33
2010-06-15,original,31
2010-06-16,original,58
2010-06-17,original,22
2010-06-18,original,14
2010-06-19,original,10
2010-06-20,original,31
2010-06-21,original,27
2010-06-22,original,17
2010-06-23,original,38
2010-06-24,original,25
2010-06-25,original,29
2010-06-26,original,29
2010-06-27,original,11
2010-06-28,original,11
2010-06-29,original,20
2010-06-30,original,438
2010-07-01,original,22
2010-07-02,original,31
2010-07-03,original,36
2010-07-04,original,20
2010-07-05,original,66
2010-07-06,original,31
2010-07-07,original,19
2010-07-08,original,25
2010-07-09,original,52
2010-07-10,original,21
2010-07-11,original,10
2010-07-12,original,25
2010-07-13,original,26
2010-07-14,original,88
2010-07-15,original,28
2010-07-16,original,41
2010-07-17,original,16
2010-07-18,original,42
2010-07-19,original,43
2010-07-20,original,25
2010-07-21,original,31
2010-07-22,original,29
2010-07-23,original,18
2010-07-24,original,36
2010-07-25,original,12
2010-07-26,original,17
2010-07-27,original,23
2010-07-28,original,28
2010-07-29,original,26
2010-07-30,original,34
2010-07-31,original,23
2010-08-01,original,46
2010-08-02,original,275
2010-08-03,original,145
2010-08-04,original,121
2010-08-05,original,133
2010-08-06,original,53
2010-08-07,original,17
2010-08-08,original,30
2010-08-09,original,25
2010-08-10,original,60
2010-08-11,original,92
2010-08-12,original,91
2010-08-13,original,36
2010-08-14,original,38
2010-08-15,original,27
2010-08-16,original,39
2010-08-17,original,39
2010-08-18,original,35
2010-08-19,original,96
2010-08-20,original,70
2010-08-21,original,48
2010-08-22,original,41
2010-08-23,original,39
2010-08-24,original,47
2010-08-25,original,29
2010-08-26,original,41
2010-08-27,original,47
2010-08-28,original,26
2010-08-29,original,42
2010-08-30,original,35
2010-08-31,original,41
2010-09-01,original,29
2010-09-02,original,30
2010-09-03,original,31
2010-09-04,original,29
2010-09-05,original,30
2010-09-06,original,29
2010-09-07,original,25
2010-09-08,original,41
2010-09-09,original,60
2010-09-10,original,204
2010-09-11,original,50
2010-09-12,original,30
2010-09-13,original,59
2010-09-14,original,43
2010-09-15,original,34
2010-09-16,original,27
2010-09-17,original,47
2010-09-18,original,15
2010-09-19,original,18
2010-09-20,original,20
2010-09-21,original,34
2010-09-22,original,53
2010-09-23,original,71
2010-09-24,original,39
2010-09-25,original,41
2010-09-26,original,35
2010-09-27,original,34
2010-09-28,original,45
